state;year;population;expenditures;electricity_cap;logexpenditures;logelectricity_cap;logpopulation
Andhra Pradesh;1981;53361590;192.990876021498;2240000;5.2626429132874;14.6219864238312;17.7926017567289
Andhra Pradesh;1982;54512804;200.985808765221;2678000;5.30323430240845;14.8005808052333;17.8139461678202
Andhra Pradesh;1983;55693104;278.878332944057;2830000;5.63077560407189;14.8557872696194;17.8353668911288
Andhra Pradesh;1984;56902720;326.968552645638;3156000;5.7898639969933;14.9648159609479;17.8568537011175
Andhra Pradesh;1985;58142484;355.057069801146;3156000;5.87227853655814;14.9648159609479;17.8784071766405
Andhra Pradesh;1986;59413264;414.16845908348;3595000;6.02627279706026;15.0950545491373;17.9000280590685
Andhra Pradesh;1987;60715936;420.056111792463;3595000;6.04038830185966;15.0950545491373;17.9217167586404
Andhra Pradesh;1988;62051440;505.119623331868;3595000;6.22479527910911;15.0950545491373;17.9434742764367
Andhra Pradesh;1989;63420710;532.840140074118;4064000;6.27822145436536;15.2176782682405;17.9653010222184
Andhra Pradesh;1990;64824720;608.089012956786;4064000;6.41032127413976;15.2176782682405;17.9871975700584
Andhra Pradesh;1991;66264496;690.066366761471;4064000;6.53678777667822;15.2176782682405;18.0091648064429
Andhra Pradesh;1992;67231380;746.358322557115;4064000;6.61520581002815;15.2176782682405;18.0236506607852
Assam;1960;10455499;22.9544280956844;19260;3.13351086324072;9.86578568535212;16.1626386180655
Assam;1961;10781763;23.8087221913522;24726;3.17005199216878;10.1156106005669;16.1933666536726
Assam;1962;11109991;26.8497067189343;26663;3.2902548979505;10.1910321155339;16.2233553515345
Assam;1963;11446597;29.1090880547293;29365;3.37105042970684;10.2875587679566;16.2532030385501
Assam;1964;11793791;32.2542598898013;54302;3.47365012412496;10.9023163376563;16.2830837645106
Assam;1965;12151926;42.3471966501442;159537;3.7459022241053;11.9800311492266;16.3129982337066
Assam;1966;12521364;46.1052006794148;159507;3.83092575664219;11.9798430873914;16.342946863389
Assam;1967;12902486;44.7123135804991;156675;3.80024893528372;11.9619288750929;16.3729305639434
Assam;1968;13295682;50.7457985231596;158200;3.92682882677381;11.9716153343157;16.4029498788238
Assam;1969;13701358;59.8334851187743;158200;4.09156545606103;11.9716153343157;16.4330055099735
Assam;1970;14119931;56.55126784968;179700;4.03514762228746;12.0990440727716;16.4630979033319
Assam;1971;14551839;57.277983902928;179700;4.04791632480753;12.0990440727716;16.4932279353476
Assam;1972;14882493;59.3045802205316;210000;4.08268654114123;12.2548628096996;16.5156961136585
Assam;1973;15197465;59.0822219363558;197000;4.07893006589904;12.1909590077201;16.536639195592
Assam;1974;15519304;67.4901400217432;197000;4.21198151345672;12.1909590077201;16.5575952263529
Assam;1975;15848166;74.2861981632449;197000;4.30792517623493;12.1909590077201;16.5785643418135
Assam;1976;16184211;76.5190221506628;160000;4.33753936548704;11.982929094216;16.5995466953127
Assam;1977;16527602;103.130508587997;172000;4.63599525983911;12.0552497557956;16.6205423897031
Assam;1978;16878506;110.602206143127;172000;4.70594003593384;12.0552497557956;16.6415515361061
Assam;1979;17237096;122.393006339351;162000;4.8072372306954;11.9953516142145;16.6625743635357
Assam;1980;17603548;143.618775033306;228000;4.96716239342498;12.3371009079366;16.6836110306008
Assam;1981;17978038;155.37290554175;333000;5.0458280697191;12.7158977689626;16.7046614598078
Assam;1982;18369424;180.658903621583;334000;5.19661074296412;12.7188962719588;16.7261981012288
Assam;1983;18771388;265.142886610196;349000;5.58026887542842;12.7628272011846;16.7478443536177
Assam;1984;19182442;302.709112843923;432000;5.71277232077413;12.9761808672262;16.7695059394402
Assam;1985;19602800;330.942518415737;432000;5.80194469992094;12.9761808672262;16.7911829711405
Assam;1986;20032686;400.07116369717;507000;5.99164244052693;13.1362662825733;16.8128757975033
Assam;1987;20472320;449.323769851194;507000;6.10774371886368;13.1362662825733;16.8345842878055
Assam;1988;20921940;469.220349546935;507000;6.15107248656973;13.1362662825733;16.8563089270871
Assam;1989;21381776;524.7365794123;537000;6.26289638317083;13.193753373491;16.8780495283993
Assam;1990;21852080;602.528454957148;537000;6.40113489239424;13.193753373491;16.8998066694832
