state;year;manufacturing_output;manufacturing_output1;logmanufacturing_output1
Karnataka;1981;4645700000;125,6070883;4,833158688
Karnataka;1982;6293500000;166,8013234;5,116803424
Karnataka;1983;7668800000;199,4094788;5,295360393
Karnataka;1984;9145900000;233,3176086;5,452400652
Karnataka;1985;11380900000;284,8340372;5,651906685
Karnataka;1986;12208200000;299,7455544;5,702933963
Karnataka;1987;12703500000;305,986113;5,723539719
Karnataka;1988;15122500000;357,3308772;5,878662179
Karnataka;1989;20495700000;475,0833714;6,163490307
Karnataka;1990;23104000000;525,346299;6,264057662
Karnataka;1991;28016400000;624,9044233;6,437598715
Karnataka;1992;31704600000;695,7322035;6,544964821
Kerala;1960;267700000;16,25264121;2,788255431
Kerala;1961;310800000;18,45473975;2,915321235
Kerala;1962;320000000;18,56678787;2,921374386
Kerala;1963;335300000;19,00638066;2,944774747
Kerala;1964;381500000;21,12687834;3,050546085
Kerala;1965;440500000;23,83183951;3,171022481
Kerala;1966;534700000;28,26106053;3,341484904
Kerala;1967;752400000;38,84986633;3,659704636
Kerala;1968;714100000;36,02119041;3,584107388
Kerala;1969;809500000;39,8905437;3,686139296
Kerala;1970;703100000;33,84698333;3,521849877
Kerala;1971;896400000;42,15510992;3,741355909
Kerala;1972;944300000;43,59829877;3,77501813
Kerala;1973;1120500000;50,83930913;3,928669857
Kerala;1974;1352000000;60,28017261;4,099003237
Kerala;1975;1443000000;63,22016442;4,146623308
Kerala;1976;1660500000;71,48272081;4,269455754
Kerala;1977;1849200000;78,21679248;4,359484362
Kerala;1978;1992600000;82,80776762;4,416521869
Kerala;1979;2495000000;101,8678189;4,62367608
Kerala;1980;2903000000;116,4419574;4,757392929
Kerala;1981;3346100000;131,8492163;4,881658969
Kerala;1982;3661000000;142,4119963;4,958724239
Kerala;1983;4175500000;160,4617116;5,078055357
Kerala;1984;4536800000;172,1842311;5,148565014
Kerala;1985;4761000000;178,3955061;5,18400303
Kerala;1986;4889200000;180,8102928;5,197448376
Kerala;1987;7518600000;274,3316755;5,614337869
Kerala;1988;9245300000;332,7086267;5,807267112
Kerala;1989;12018200000;426,4159467;6,055415271
Kerala;1990;10014600000;350,204725;5,858517912
Kerala;1991;12415400000;427,7433642;6,058523399
Kerala;1992;13798400000;470,6547847;6,154124884
Madhya Pradesh;1960;256000000;8,112152537;2,093363251
Madhya Pradesh;1961;308000000;9,549025565;2,256439114
Madhya Pradesh;1962;273000000;8,258749464;2,11127318
Madhya Pradesh;1963;396000000;11,68280477;2,458118083
Madhya Pradesh;1964;501000000;14,41375296;2,668182818
Madhya Pradesh;1965;524000000;14,70093556;2,687911135
Madhya Pradesh;1966;602000000;16,46915715;2,801489368
Madhya Pradesh;1967;664000000;17,71294413;2,874295679
Madhya Pradesh;1968;700000000;18,20770149;2,901844664
Madhya Pradesh;1969;731000000;18,53938084;2,919897164
Madhya Pradesh;1970;933000000;23,07100211;3,138576509
Madhya Pradesh;1971;1008000000;24,30179942;3,190550398
Madhya Pradesh;1972;1378000000;32,4797155;3,480615756
Madhya Pradesh;1973;2079000000;47,92949205;3,869731015
Madhya Pradesh;1974;2586000000;58,30665041;4,065716159
Madhya Pradesh;1975;2385000000;52,58649486;3,962459335
Madhya Pradesh;1976;2966000000;63,94513912;4,158025515
Madhya Pradesh;1977;2897000000;61,06452005;4,111931011
Madhya Pradesh;1978;3042000000;62,68394864;4,138105412
Madhya Pradesh;1979;4242000000;85,44298826;4,44784935
Madhya Pradesh;1980;4813700000;94,76424635;4,55139219
Madhya Pradesh;1981;5444900000;104,7527252;4,651602574
Madhya Pradesh;1982;6707700000;126,0538786;4,836709424
Madhya Pradesh;1983;6898500000;126,6166776;4,841164235
Madhya Pradesh;1984;8941000000;160,271147;5,07686705
Madhya Pradesh;1985;7809900000;136,7183431;4,91792292
Madhya Pradesh;1986;7003100000;119,7188877;4,785146392
Madhya Pradesh;1987;11707900000;195,4434315;5,275270985
Madhya Pradesh;1988;15109600000;246,2879945;5,50650156
Madhya Pradesh;1989;19186200000;305,3555391;5,7214768
Madhya Pradesh;1990;23513200000;365,3702269;5,90091116
Madhya Pradesh;1991;17168500000;260,4571849;5,56243849
Madhya Pradesh;1992;26545000000;394,3521112;5,977244193
Maharashtra;1960;2622900000;67,97217259;4,219098395
Maharashtra;1961;2925700000;74,22946055;4,307161114
Maharashtra;1962;3349800000;83,00817791;4,418939132
Maharashtra;1963;3692400000;89,31857792;4,492209506
Maharashtra;1964;4027500000;95,1003003;4,554932127
Maharashtra;1965;4426600000;102,0263052;4,625230674
Maharashtra;1966;4948200000;111,318321;4,712393854
Maharashtra;1967;5638200000;123,7996602;4,818664615
Maharashtra;1968;5933400000;127,1522327;4,845385052
Maharashtra;1969;6874000000;143,7649733;4,968179837
Maharashtra;1970;7990800000;163,0942465;5,094328233
Maharashtra;1971;8951500000;178,291481;5,183419745
Maharashtra;1972;10404100000;202,6924878;5,311689992
Maharashtra;1973;11856700000;226,0339087;5,420685027
Maharashtra;1974;15108100000;281,8171888;5,641258594
Maharashtra;1975;14732600000;268,8783928;5,594259206
Maharashtra;1976;16650800000;297,3044124;5,694756571
Maharashtra;1977;18844400000;329,1614927;5,79654849
Maharashtra;1978;22634400000;386,7467508;5,957770088
Maharashtra;1979;26400000000;441,2277899;6,089561272
Maharashtra;1980;29004900000;474,1347293;6,16149152
Maharashtra;1981;29370200000;469,5466912;6,151767742
Maharashtra;1982;32176100000;502,9222417;6,220435569
Maharashtra;1983;37409000000;571,5982547;6,348436393
Maharashtra;1984;39493700000;589,8822198;6,37992289
Maharashtra;1985;49170200000;717,8560005;6,576268992
Maharashtra;1986;56346400000;804,0342696;6,689641892
Maharashtra;1987;58066100000;809,8023487;6,696790204
Maharashtra;1988;73661000000;1003,960999;6,911708454
Maharashtra;1989;91115300000;1213,57958;7,101329602
Maharashtra;1990;1,10712E+11;1440,931177;7,273044834
Maharashtra;1991;1,1666E+11;1483,598636;7,302225926
Maharashtra;1992;1,34565E+11;1676,405275;7,424407063
Orissa;1960;71200000;4,146132055;1,422175865
Orissa;1961;118300000;6,762158481;1,911342141
Orissa;1962;162500000;9,091119649;2,207298074
Orissa;1963;232600000;12,72816996;2,543817644
Orissa;1964;330300000;17,67793405;2,872317198
Orissa;1965;379300000;19,85391746;2,988401341
Orissa;1966;310900000;15,91466586;2,767241065
Orissa;1967;202600000;10,14149539;2,316635461
Orissa;1968;355100000;17,38083409;2,85536811
Orissa;1969;493300000;23,60800132;3,161585693
Orissa;1970;570000000;26,66988826;3,283535149
Orissa;1971;455400000;20,83084421;3,036434783
Orissa;1972;455400000;20,44647303;3,0178104
Orissa;1973;751500000;33,14162787;3,500790132
Orissa;1974;1070500000;46,36613786;3,836569405
Orissa;1975;839600000;35,71120203;3,575464422
Orissa;1976;1458300000;60,90366963;4,10929343
Orissa;1977;1377100000;56,46401671;4,033603563
Orissa;1978;1663300000;66,94684011;4,203898873
Orissa;1979;2044100000;80,75261548;4,391390351
Orissa;1980;1632100000;63,2755873;4,147499588
Orissa;1981;1251400000;47,60568222;3,862952128
Orissa;1982;1197500000;44,72826505;3,80060563
Orissa;1983;1271500000;46,63582406;3,842369002
Orissa;1984;3135100000;112,9124504;4,726612744
Orissa;1985;2933800000;103,7524743;4,642008007
Orissa;1986;3377900000;117,2957942;4,7646989
Orissa;1987;3779300000;128,8560759;4,858696091
Orissa;1988;8335700000;279,0509676;5,631394445
Orissa;1989;8687800000;285,5545075;5,65443293
Orissa;1990;6449200000;208,11946;5,338112242
Orissa;1991;9068500000;287,3158807;5,66058224
Orissa;1992;10353000000;323,027791;5,77773836
Punjab;1960;184600000;16,96103464;2,830918633
Punjab;1961;NA;NA;NA
Punjab;1962;NA;NA;NA
Punjab;1963;NA;NA;NA
Punjab;1964;NA;NA;NA
Punjab;1965;349000000;29,07065853;3,369729367
Punjab;1966;392100000;32,02572644;3,466539531
Punjab;1967;414100000;33,16492184;3,501492746
Punjab;1968;489200000;38,41763932;3,648516711
Punjab;1969;542700000;41,79010418;3,732659569
Punjab;1970;567000000;42,81194277;3,7568171
Punjab;1971;615700000;45,58459823;3,819569901
Punjab;1972;765600000;55,51474371;4,016648638
Punjab;1973;915800000;65,0176825;4,174659271
Punjab;1974;1136500000;78,99330625;4,369363118
Punjab;1975;1393200000;94,79590745;4,551726238
Punjab;1976;1480200000;98,58632328;4,590932543
Punjab;1977;1784200000;116,3119831;4,756276091
Punjab;1978;2084200000;132,9747528;4,890159282
Punjab;1979;2597200000;162,1615412;5,088593006
Punjab;1980;2630900000;160,7396038;5,079785688
Punjab;1981;3523500000;210,6357451;5,350130315
Punjab;1982;3712100000;217,6629678;5,382947847
Punjab;1983;4537600000;261,1015336;5,564909349
Punjab;1984;5096200000;287,766778;5,662150354
Punjab;1985;6434700000;356,5547064;5,876487682
Punjab;1986;6966300000;378,7881259;5,936977014
Punjab;1987;7885900000;420,7599151;6,042062398
Punjab;1988;9968700000;521,918952;6,257512311
Punjab;1989;12286400000;631,1945443;6,447614126
Punjab;1990;14130400000;712,2944285;6,568491349
Punjab;1991;15831300000;783,0341561;6,663176317
Punjab;1992;17869400000;868,2027813;6,766425306
Rajasthan;1960;107100000;5,460863202;1,697606873
Rajasthan;1961;107200000;5,339438357;1,675120471
Rajasthan;1962;123200000;5,988926902;1,789912248
Rajasthan;1963;145100000;6,882743383;1,92901732
Rajasthan;1964;173800000;8,044410329;2,084977481
Rajasthan;1965;215500000;9,732770197;2,275498562
Rajasthan;1966;250900000;11,05678835;2,40304457
Rajasthan;1967;315600000;13,57059223;2,607905116
Rajasthan;1968;349200000;14,65088231;2,68450056
Rajasthan;1969;387600000;15,86702224;2,764242882
Rajasthan;1970;506000000;20,21056372;3,006205424
Rajasthan;1971;530700000;20,68175997;3,029252151
Rajasthan;1972;572000000;21,6850283;3,076622082
Rajasthan;1973;707400000;26,07174632;3,260852212
Rajasthan;1974;901100000;32,28405671;3,474573508
Rajasthan;1975;947300000;32,98991734;3,49620198
Rajasthan;1976;1339500000;45,34015269;3,814193013
Rajasthan;1977;1338600000;44,03574257;3,785001635
Rajasthan;1978;1433000000;45,81230459;3,824552714
Rajasthan;1979;1742600000;54,13546354;3,991489489
Rajasthan;1980;1992500000;60,14464296;4,096752377
Rajasthan;1981;2365100000;69,36310063;4,239355035
Rajasthan;1982;2788800000;79,72237586;4,378550297
Rajasthan;1983;4971300000;138,6097437;4,931662385
Rajasthan;1984;4151500000;112,8967553;4,726473731
Rajasthan;1985;4288400000;113,7407191;4,733921464
Rajasthan;1986;4762500000;123,1945372;4,813764709
Rajasthan;1987;6304200000;159,0427063;5,069172759
Rajasthan;1988;6491700000;159,7205991;5,073426033
Rajasthan;1989;9121400000;218,8638916;5,388450037
Rajasthan;1990;13178700000;308,3803297;5,731333858
Rajasthan;1991;13109200000;299,145933;5,700931525
Rajasthan;1992;15387500000;342,4768056;5,836203935
Tamil Nadu;1960;883800000;26,58457354;3,280331105
Tamil Nadu;1961;998700000;29,70257277;3,391233667
Tamil Nadu;1962;1094700000;31,96321594;3,46458574
Tamil Nadu;1963;1198100000;34,29294423;3,534939626
Tamil Nadu;1964;1355600000;38,03410051;3,638483139
Tamil Nadu;1965;1532300000;42,13942316;3,74098372
Tamil Nadu;1966;1684800000;45,41186524;3,81577342
Tamil Nadu;1967;1760900000;46,51625504;3,839801822
Tamil Nadu;1968;1848700000;47,85840932;3,868246846
Tamil Nadu;1969;2116800000;53,69897069;3,983393834
Tamil Nadu;1970;2646200000;65,77719225;4,186273156
Tamil Nadu;1971;2767400000;67,40050425;4,210652499
Tamil Nadu;1972;3123600000;74,81465911;4,315013843
Tamil Nadu;1973;3884000000;91,55057061;4,516891504
Tamil Nadu;1974;5361300000;124,3621029;4,823197495
Tamil Nadu;1975;5210400000;118,9352691;4,778579388
Tamil Nadu;1976;6486100000;145,6901799;4,981482311
Tamil Nadu;1977;7307300000;161,508744;5,084559284
Tamil Nadu;1978;8345000000;181,4860482;5,201178781
Tamil Nadu;1979;9229300000;197,4916191;5,285696149
Tamil Nadu;1980;10790700000;227,1839669;5,425760116
Tamil Nadu;1981;12229600000;253,3224544;5,534663201
Tamil Nadu;1982;14943700000;305,0491091;5,720472777
Tamil Nadu;1983;14162700000;285,0036717;5,652502063
Tamil Nadu;1984;18521600000;367,4285654;5,90652892
Tamil Nadu;1985;20619700000;403,2403158;5,999532701
Tamil Nadu;1986;23380200000;450,7276741;6,11086333
Tamil Nadu;1987;24372600000;463,1796274;6,138114943
Tamil Nadu;1988;35539300000;665,7869264;6,500969689
Tamil Nadu;1989;42607300000;786,839923;6,668024826
Tamil Nadu;1990;50722800000;923,3763036;6,828036848
Tamil Nadu;1991;53493200000;959,9406233;6,866871432
Tamil Nadu;1992;62250900000;1106,279411;7,008757782
Uttar Pradesh;1960;591500000;8,165583398;2,099928175
Uttar Pradesh;1961;661800000;8,996122206;2,196793619
Uttar Pradesh;1962;693500000;9,262869278;2,226013858
Uttar Pradesh;1963;686900000;9,011013403;2,198447541
Uttar Pradesh;1964;864800000;11,1422235;2,410741811
Uttar Pradesh;1965;986600000;12,48441978;2,52448145
Uttar Pradesh;1966;1146600000;14,24968085;2,65673451
Uttar Pradesh;1967;1099400000;13,41867877;2,596647674
Uttar Pradesh;1968;1294300000;15,51474602;2,741790928
Uttar Pradesh;1969;1922000000;22,6263041;3,119113128
Uttar Pradesh;1970;1869400000;21,61264258;3,073278448
Uttar Pradesh;1971;1828300000;20,75836437;3,032949268
Uttar Pradesh;1972;2273000000;25,2581796;3,229150048
Uttar Pradesh;1973;2717800000;29,53513407;3,38558054
Uttar Pradesh;1974;2877900000;30,5822324;3,4204192
Uttar Pradesh;1975;3287300000;34,15520696;3,530915048
Uttar Pradesh;1976;3776900000;38,36440014;3,64712995
Uttar Pradesh;1977;4454000000;44,22506798;3,789291777
Uttar Pradesh;1978;4854600000;47,11360507;3,852561814
Uttar Pradesh;1979;5703200000;54,0921398;3,990688885
Uttar Pradesh;1980;6086800000;56,41238092;4,032688654
Uttar Pradesh;1981;6102900000;55,26339238;4,012110707
Uttar Pradesh;1982;9891800000;87,5616653;4,472343291
Uttar Pradesh;1983;11353800000;98,25598015;4,587576116
Uttar Pradesh;1984;12264800000;103,7641457;4,642120494
Uttar Pradesh;1985;16396900000;135,6149963;4,909819962
Uttar Pradesh;1986;16932300000;136,9023629;4,919267992
Uttar Pradesh;1987;20557900000;162,4847442;5,090584115
Uttar Pradesh;1988;30932200000;238,986437;5,476406802
Uttar Pradesh;1989;36503600000;275,6870759;5,619266439
Uttar Pradesh;1990;41490300000;306,291641;5,724537723
Uttar Pradesh;1991;45009600000;324,7814067;5,783152361
Uttar Pradesh;1992;51192700000;361,1164604;5,889200511
West Bengal;1960;2080300000;61,56736671;4,120131969
West Bengal;1961;2216500000;63,76308956;4,155174489
West Bengal;1962;2602500000;73,0508271;4,29115546
West Bengal;1963;3069600000;84,1356406;4,432430266
West Bengal;1964;3378000000;90,4110491;4,504366484
West Bengal;1965;3539000000;92,49234971;4,527125935
West Bengal;1966;3493000000;89,14295922;4,490241364
West Bengal;1967;3436500000;85,63826487;4,450132203
West Bengal;1968;3421500000;83,25893199;4,421955414
West Bengal;1969;3876100000;92,10259622;4,522903132
West Bengal;1970;4084200000;94,76464876;4,551396436
West Bengal;1971;4646900000;105,2845985;4,656667146
West Bengal;1972;4875400000;108,1362443;4,683391953
West Bengal;1973;5336500000;115,9285603;4,752974142
West Bengal;1974;7733200000;164,5354351;5,103125958
West Bengal;1975;8115900000;169,1205846;5,130611979
West Bengal;1976;8240100000;168,1687038;5,124967665
West Bengal;1977;8745700000;174,8048169;5,16367002
West Bengal;1978;9651200000;188,9206806;5,241327248
West Bengal;1979;10915700000;209,2581445;5,343568631
West Bengal;1980;11667900000;219,053031;5,389313851
West Bengal;1981;11722700000;215,5277338;5,373089596
West Bengal;1982;13627500000;245,1256554;5,501770958
West Bengal;1983;14045400000;247,1258473;5,50989771
West Bengal;1984;15774700000;271,4903266;5,603926509
West Bengal;1985;15661100000;263,6468218;5,574610411
West Bengal;1986;14624800000;240,8213138;5,484055222
West Bengal;1987;26305500000;423,6956446;6,049015378
West Bengal;1988;19872600000;313,0850671;5,746474934
West Bengal;1989;22960100000;353,8175764;5,868781459
West Bengal;1990;30407600000;458,3354787;6,127601402
West Bengal;1991;25884600000;381,624479;5,944437086
West Bengal;1992;27869000000;403,8100636;6,000944628
